event,count,pct_rows,category,description,intuition,leakage_risk,modeling_recommendation,importance_score,importance_rank
promo_code_redeemed,1718,0.049,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,1
clicked_upgrade,1360,0.0388,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,2
upgrade_subscription,1318,0.0376,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,3
claim_free_offer_clicked,1269,0.0362,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,4
agent_add_credits_button_clicked,395,0.0113,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,5
subscription_upgraded,328,0.0093,Target outcome,The target conversion event: user upgraded to a paid subscription.,Use only to define the label and first-upgrade timestamp.,Certain leakage: this is the target and must never be used as a feature.,Label only. Exclude from features.,100,6
add_credits,106,0.003,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,7
clicked_add_credits,94,0.0027,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,8
addon_credits_purchased,74,0.0021,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,100,9
seats_exceeded_share_resource_warning_clicked_upgrade,1,0.0,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,97,10
copied_promo_code,332,0.0095,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,95,11
billing_info,242,0.0069,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,95,12
team_plan_modal,78,0.0022,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,95,13
agent_resume_plan_button_clicked,30,0.0009,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,95,14
credits_below_4,55106,1.5701,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",93,15
credits_exceeded,35082,0.9996,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",93,16
credits_below_3,33061,0.942,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",93,17
credits_below_2,21285,0.6065,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",93,18
credits_below_1,17884,0.5096,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",93,19
notebook_deployment_credits_exceeded,230,0.0066,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",90,20
referral_upgrade_bonus_awarded,10,0.0003,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,89,21
auto_recharge_enabled,4,0.0001,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,89,22
watermark_remove_upgrade_clicked,4,0.0001,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,89,23
auto_charge_enabled,3,0.0001,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,89,24
renew_plan,3,0.0001,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,89,25
auto_recharge_disabled,2,0.0001,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,89,26
subscription_downgraded,211,0.006,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,87,27
downgrade_subscription,123,0.0035,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,87,28
open_cancel_plan_modal,112,0.0032,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,87,29
credits_used,934821,26.6359,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",86,30
addon_credits_used,272411,7.7618,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.","Medium-high leakage risk: valuable usage signal, but may be very close to monetization or post-upgrade behavior.","Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",86,31
notebook_deployment_deployed,559,0.0159,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,86,32
api_deploy,424,0.0121,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,86,33
hosted_apps_deploy,37,0.0011,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,86,34
run_block,36254,1.033,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,83,35
